x	y
-0.2199	0.1189
-0.2186	0.1193
-0.2162	0.1194
-0.2149	0.1198
-0.2134	0.1204
-0.2120	0.1207
-0.2106	0.1213
-0.2092	0.1216
-0.2069	0.1217
-0.2055	0.1220
-0.2040	0.1225
-0.2027	0.1228
-0.2012	0.1233
-0.1999	0.1236
-0.1984	0.1241
-0.1971	0.1243
-0.1957	0.1246
-0.1943	0.1250
-0.1929	0.1253
-0.1914	0.1257
-0.1901	0.1259
-0.1886	0.1263
-0.1873	0.1265
-0.1858	0.1269
-0.1853	0.1276
-0.1840	0.1278
-0.1817	0.1276
-0.1802	0.1279
-0.1797	0.1286
-0.1784	0.1288
-0.1779	0.1295
-0.1764	0.1298
-0.1741	0.1295
-0.1728	0.1296
-0.1723	0.1303
-0.1708	0.1305
-0.1703	0.1312
-0.1690	0.1313
-0.1667	0.1309
-0.1653	0.1311
-0.1648	0.1318
-0.1642	0.1325
-0.1628	0.1326
-0.1623	0.1333
-0.1609	0.1333
-0.1595	0.1335
-0.1582	0.1335
-0.1577	0.1341
-0.1562	0.1343
-0.1557	0.1349
-0.1544	0.1349
-0.1529	0.1350
-0.1524	0.1356
-0.1510	0.1357
-0.1497	0.1357
-0.1492	0.1362
-0.1477	0.1363
-0.1472	0.1369
-0.1459	0.1368
-0.1445	0.1369
-0.1439	0.1375
-0.1425	0.1375
-0.1412	0.1373
-0.1407	0.1379
-0.1393	0.1379
-0.1387	0.1385
-0.1373	0.1384
-0.1368	0.1390
-0.1355	0.1389
-0.1349	0.1394
-0.1335	0.1393
-0.1330	0.1399
-0.1316	0.1398
-0.1310	0.1403
-0.1298	0.1401
-0.1292	0.1407
-0.1278	0.1406
-0.1273	0.1411
-0.1267	0.1416
-0.1253	0.1415
-0.1247	0.1420
-0.1235	0.1417
-0.1229	0.1422
-0.1216	0.1421
-0.1202	0.1420
-0.1190	0.1416
-0.1184	0.1421
-0.1178	0.1426
-0.1173	0.1431
-0.1159	0.1429
-0.1153	0.1434
-0.1147	0.1438
-0.1142	0.1443
-0.1128	0.1441
-0.1122	0.1446
-0.1116	0.1450
-0.1110	0.1455
-0.1097	0.1452
-0.1091	0.1457
-0.1085	0.1461
-0.1073	0.1458
-0.1060	0.1455
-0.1054	0.1459
-0.1040	0.1457
-0.1034	0.1461
-0.1028	0.1465
-0.1022	0.1469
-0.1010	0.1466
-0.1003	0.1470
-0.0992	0.1466
-0.0986	0.1470
-0.0980	0.1474
-0.0967	0.1471
-0.0961	0.1475
-0.0955	0.1479
-0.0942	0.1475
-0.0936	0.1479
-0.0930	0.1483
-0.0917	0.1479
-0.0911	0.1483
-0.0905	0.1486
-0.0899	0.1490
-0.0893	0.1494
-0.0880	0.1490
-0.0874	0.1493
-0.0868	0.1497
-0.0856	0.1492
-0.0850	0.1495
-0.0844	0.1499
-0.0838	0.1502
-0.0826	0.1497
-0.0820	0.1501
-0.0814	0.1504
-0.0807	0.1507
-0.0801	0.1511
-0.0789	0.1506
-0.0783	0.1509
-0.0776	0.1512
-0.0770	0.1516
-0.0764	0.1519
-0.0758	0.1522
-0.0752	0.1525
-0.0739	0.1520
-0.0733	0.1523
-0.0727	0.1526
-0.0721	0.1529
-0.0709	0.1523
-0.0703	0.1526
-0.0696	0.1529
-0.0690	0.1532
-0.0684	0.1535
-0.0678	0.1537
-0.0671	0.1540
-0.0659	0.1534
-0.0653	0.1537
-0.0647	0.1540
-0.0640	0.1542
-0.0634	0.1545
-0.0628	0.1547
-0.0621	0.1550
-0.0615	0.1553
-0.0604	0.1546
-0.0597	0.1549
-0.0591	0.1551
-0.0585	0.1554
-0.0578	0.1556
-0.0572	0.1558
-0.0566	0.1561
-0.0559	0.1563
-0.0553	0.1565
-0.0546	0.1567
-0.0540	0.1570
-0.0534	0.1572
-0.0522	0.1565
-0.0516	0.1567
-0.0509	0.1569
-0.0503	0.1571
-0.0497	0.1573
-0.0490	0.1576
-0.0484	0.1577
-0.0477	0.1579
-0.0471	0.1581
-0.0464	0.1583
-0.0458	0.1585
-0.0451	0.1587
-0.0445	0.1589
-0.0438	0.1591
-0.0432	0.1592
-0.0426	0.1594
-0.0420	0.1596
-0.0411	0.1588
-0.0405	0.1589
-0.0398	0.1591
-0.0392	0.1592
-0.0386	0.1594
-0.0379	0.1596
-0.0373	0.1597
-0.0367	0.1598
-0.0361	0.1600
-0.0354	0.1601
-0.0348	0.1603
-0.0342	0.1604
-0.0335	0.1605
-0.0329	0.1607
-0.0323	0.1608
-0.0317	0.1609
-0.0310	0.1610
-0.0304	0.1612
-0.0297	0.1613
-0.0291	0.1614
-0.0284	0.1615
-0.0278	0.1616
-0.0272	0.1617
-0.0265	0.1618
-0.0259	0.1619
-0.0253	0.1620
-0.0246	0.1621
-0.0241	0.1632
-0.0235	0.1633
-0.0228	0.1634
-0.0222	0.1635
-0.0215	0.1636
-0.0209	0.1637
-0.0203	0.1637
-0.0196	0.1638
-0.0190	0.1639
-0.0183	0.1640
-0.0177	0.1640
-0.0170	0.1641
-0.0164	0.1642
-0.0157	0.1642
-0.0151	0.1643
-0.0144	0.1644
-0.0138	0.1644
-0.0132	0.1645
-0.0128	0.1655
-0.0121	0.1656
-0.0114	0.1656
-0.0108	0.1657
-0.0101	0.1657
-0.0095	0.1657
-0.0088	0.1658
-0.0082	0.1658
-0.0075	0.1658
-0.0071	0.1669
-0.0064	0.1669
-0.0057	0.1669
-0.0051	0.1669
-0.0045	0.1669
-0.0038	0.1670
-0.0032	0.1670
-0.0025	0.1670
-0.0018	0.1670
-0.0013	0.1680
-0.0006	0.1680
-0.0000	0.1680
0.0006	0.1680
0.0013	0.1680
0.0020	0.1680
0.0026	0.1680
0.0032	0.1690
0.0038	0.1690
0.0045	0.1689
0.0052	0.1689
0.0058	0.1689
0.0065	0.1689
0.0070	0.1699
0.0077	0.1698
0.0084	0.1698
0.0090	0.1698
0.0097	0.1697
0.0104	0.1697
0.0109	0.1706
0.0116	0.1706
0.0123	0.1706
0.0129	0.1705
0.0135	0.1715
0.0142	0.1714
0.0149	0.1714
0.0155	0.1713
0.0197	0.1739
0.0745	0.4489
0.0761	0.4476
0.0778	0.4493
0.0798	0.4500
0.0819	0.4516
0.0839	0.4523
0.0859	0.4529
0.0880	0.4535
0.0897	0.4532
0.0918	0.4538
0.0934	0.4545
0.0954	0.4551
0.0971	0.4547
0.0992	0.4553
0.1013	0.4559
0.1032	0.4555
0.1053	0.4570
0.1075	0.4576
0.1096	0.4581
0.1113	0.4577
0.1134	0.4582
0.1150	0.4588
0.1169	0.4583
0.1190	0.4588
0.1211	0.4593
0.1232	0.4598
0.1256	0.4612
0.1275	0.4607
0.1292	0.4602
0.1317	0.4616
