x	y	r	phi
-0.9853	0.0734	0.9880	3.0672
-0.9749	0.0777	0.9780	3.0620
-0.9626	0.0808	0.9660	3.0579
-0.9523	0.0838	0.9560	3.0539
-0.9399	0.0876	0.9440	3.0487
-0.9296	0.0905	0.9340	3.0446
-0.9193	0.0933	0.9240	3.0404
-0.9070	0.0957	0.9120	3.0364
-0.8985	0.0994	0.9040	3.0314
-0.8882	0.1019	0.8940	3.0274
-0.8798	0.1046	0.8860	3.0233
-0.8693	0.1079	0.8760	3.0181
-0.8590	0.1102	0.8660	3.0140
-0.8506	0.1126	0.8580	3.0100
-0.8422	0.1150	0.8500	3.0058
-0.8337	0.1183	0.8420	3.0007
-0.8233	0.1203	0.8320	2.9965
-0.8168	0.1227	0.8260	2.9925
-0.8083	0.1255	0.8180	2.9875
-0.7979	0.1272	0.8080	2.9835
-0.7915	0.1295	0.8020	2.9794
-0.7830	0.1315	0.7940	2.9753
-0.7745	0.1342	0.7860	2.9701
-0.7680	0.1362	0.7800	2.9660
-0.7596	0.1380	0.7720	2.9619
-0.7530	0.1408	0.7660	2.9567
-0.7465	0.1428	0.7600	2.9526
-0.7380	0.1442	0.7520	2.9486
-0.7316	0.1461	0.7460	2.9445
-0.7250	0.1485	0.7400	2.9396
-0.7185	0.1502	0.7340	2.9355
-0.7120	0.1519	0.7280	2.9313
-0.7053	0.1543	0.7220	2.9262
-0.6988	0.1559	0.7160	2.9221
-0.6943	0.1579	0.7120	2.9180
-0.6878	0.1594	0.7060	2.9139
-0.6811	0.1615	0.7000	2.9087
-0.6746	0.1629	0.6940	2.9047
-0.6681	0.1642	0.6880	2.9006
-0.6615	0.1660	0.6820	2.8957
-0.6569	0.1678	0.6780	2.8916
-0.6504	0.1690	0.6720	2.8874
-0.6459	0.1706	0.6680	2.8834
-0.6392	0.1723	0.6620	2.8782
-0.6346	0.1739	0.6580	2.8741
-0.6281	0.1749	0.6520	2.8700
-0.6235	0.1764	0.6480	2.8660
-0.6188	0.1783	0.6440	2.8611
-0.6142	0.1797	0.6400	2.8569
-0.6077	0.1807	0.6340	2.8525
-0.6030	0.1825	0.6300	2.8476
-0.5984	0.1838	0.6260	2.8436
-0.5938	0.1851	0.6220	2.8395
-0.5893	0.1863	0.6180	2.8354
-0.5845	0.1880	0.6140	2.8305
-0.5799	0.1891	0.6100	2.8264
-0.5754	0.1902	0.6060	2.8223
-0.5708	0.1913	0.6020	2.8182
-0.5661	0.1928	0.5980	2.8133
-0.5615	0.1938	0.5940	2.8092
-0.5588	0.1955	0.5920	2.8051
-0.5542	0.1964	0.5880	2.8010
-0.5495	0.1977	0.5840	2.7962
-0.5449	0.1986	0.5800	2.7920
-0.5403	0.1995	0.5760	2.7879
-0.5358	0.2003	0.5720	2.7839
-0.5329	0.2022	0.5700	2.7789
-0.5284	0.2029	0.5660	2.7749
-0.5238	0.2037	0.5620	2.7708
-0.5211	0.2051	0.5600	2.7666
-0.5164	0.2062	0.5560	2.7617
-0.5137	0.2075	0.5540	2.7577
-0.5091	0.2081	0.5500	2.7536
