x	y	r	phi
0.1433	0.4991	0.5193	1.2913
0.1453	0.4983	0.5191	1.2871
0.1479	0.4994	0.5209	1.2828
0.1499	0.4987	0.5207	1.2789
0.1519	0.4978	0.5205	1.2746
0.1538	0.4970	0.5203	1.2707
0.1557	0.4963	0.5201	1.2668
0.1577	0.4954	0.5199	1.2626
0.1596	0.4946	0.5197	1.2586
0.1624	0.4956	0.5215	1.2541
0.1643	0.4948	0.5213	1.2502
0.1662	0.4939	0.5211	1.2462
0.1682	0.4930	0.5209	1.2420
0.1701	0.4922	0.5207	1.2380
0.1720	0.4913	0.5206	1.2341
0.1740	0.4904	0.5204	1.2299
0.1759	0.4895	0.5202	1.2259
0.1779	0.4886	0.5200	1.2217
0.1806	0.4895	0.5218	1.2174
0.1824	0.4886	0.5216	1.2135
0.1844	0.4877	0.5214	1.2092
0.1863	0.4868	0.5212	1.2052
0.1882	0.4858	0.5210	1.2013
0.1901	0.4849	0.5208	1.1971
0.1920	0.4839	0.5206	1.1931
0.1949	0.4847	0.5224	1.1885
0.1967	0.4838	0.5222	1.1845
0.1986	0.4828	0.5221	1.1806
0.2005	0.4818	0.5219	1.1764
0.2024	0.4808	0.5217	1.1724
0.2042	0.4798	0.5215	1.1684
0.2071	0.4806	0.5233	1.1639
0.2090	0.4796	0.5231	1.1599
0.2109	0.4785	0.5229	1.1556
0.2128	0.4775	0.5227	1.1516
0.2145	0.4765	0.5226	1.1477
0.2170	0.4774	0.5244	1.1442
0.2188	0.4764	0.5242	1.1402
0.2207	0.4753	0.5240	1.1360
0.2226	0.4742	0.5238	1.1320
0.2245	0.4731	0.5237	1.1277
0.2273	0.4737	0.5255	1.1234
0.2291	0.4727	0.5253	1.1195
0.2310	0.4715	0.5251	1.1152
0.2329	0.4704	0.5249	1.1112
0.2357	0.4711	0.5267	1.1069
0.2376	0.4699	0.5265	1.1027
0.2394	0.4688	0.5264	1.0986
