x	y	r	phi
0.2390	-0.0312	0.2410	-0.1297
0.2388	-0.0322	0.2410	-0.1341
0.2387	-0.0332	0.2410	-0.1383
0.2376	-0.0340	0.2400	-0.1423
0.2374	-0.0351	0.2400	-0.1467
0.2373	-0.0360	0.2400	-0.1507
0.2371	-0.0370	0.2400	-0.1548
0.2350	-0.0379	0.2380	-0.1600
0.2328	-0.0388	0.2360	-0.1652
0.2326	-0.0398	0.2360	-0.1693
0.2325	-0.0407	0.2360	-0.1734
0.2323	-0.0417	0.2360	-0.1778
0.2311	-0.0425	0.2350	-0.1819
0.2310	-0.0434	0.2350	-0.1859
0.2308	-0.0444	0.2350	-0.1900
0.2306	-0.0454	0.2350	-0.1944
0.2304	-0.0463	0.2350	-0.1985
0.2292	-0.0473	0.2340	-0.2036
0.2290	-0.0483	0.2340	-0.2078
0.2288	-0.0493	0.2340	-0.2121
0.2285	-0.0503	0.2340	-0.2165
0.2283	-0.0513	0.2340	-0.2209
0.2271	-0.0520	0.2330	-0.2252
0.2259	-0.0528	0.2320	-0.2296
0.2247	-0.0538	0.2310	-0.2350
0.2244	-0.0548	0.2310	-0.2394
0.2242	-0.0557	0.2310	-0.2437
0.2230	-0.0565	0.2300	-0.2481
0.2227	-0.0574	0.2300	-0.2522
0.2225	-0.0584	0.2300	-0.2566
0.2222	-0.0593	0.2300	-0.2610
0.2209	-0.0603	0.2290	-0.2664
0.2207	-0.0612	0.2290	-0.2707
0.2204	-0.0622	0.2290	-0.2752
0.2201	-0.0632	0.2290	-0.2795
0.2189	-0.0639	0.2280	-0.2839
0.2176	-0.0647	0.2270	-0.2891
0.2173	-0.0656	0.2270	-0.2934
0.2170	-0.0666	0.2270	-0.2978
0.2167	-0.0675	0.2270	-0.3021
0.2164	-0.0685	0.2270	-0.3065
0.2161	-0.0694	0.2270	-0.3108
0.2158	-0.0704	0.2270	-0.3152
0.2146	-0.0710	0.2260	-0.3195
0.2142	-0.0719	0.2260	-0.3240
0.2139	-0.0729	0.2260	-0.3283
0.2136	-0.0738	0.2260	-0.3327
0.2133	-0.0747	0.2260	-0.3370
0.2130	-0.0757	0.2260	-0.3414
0.2126	-0.0766	0.2260	-0.3457
0.2113	-0.0774	0.2250	-0.3512
0.2100	-0.0780	0.2240	-0.3556
0.2096	-0.0789	0.2240	-0.3599
0.2093	-0.0798	0.2240	-0.3640
0.2090	-0.0807	0.2240	-0.3683
0.2086	-0.0816	0.2240	-0.3728
0.2083	-0.0825	0.2240	-0.3771
0.2079	-0.0834	0.2240	-0.3815
0.2075	-0.0843	0.2240	-0.3858
0.2072	-0.0852	0.2240	-0.3902
0.2068	-0.0861	0.2240	-0.3945
0.2045	-0.0864	0.2220	-0.4000
0.2041	-0.0873	0.2220	-0.4044
0.2037	-0.0882	0.2220	-0.4087
0.2033	-0.0891	0.2220	-0.4131
0.2029	-0.0900	0.2220	-0.4174
0.2025	-0.0909	0.2220	-0.4218
0.2021	-0.0918	0.2220	-0.4262
0.2017	-0.0927	0.2220	-0.4306
0.2003	-0.0933	0.2210	-0.4357
0.1999	-0.0941	0.2210	-0.4401
0.1995	-0.0950	0.2210	-0.4445
0.1991	-0.0959	0.2210	-0.4488
0.1987	-0.0968	0.2210	-0.4532
0.1983	-0.0976	0.2210	-0.4575
0.1978	-0.0985	0.2210	-0.4619
0.1974	-0.0994	0.2210	-0.4663
0.1970	-0.1002	0.2210	-0.4706
0.1965	-0.1011	0.2210	-0.4751
0.1961	-0.1019	0.2210	-0.4794
0.1956	-0.1028	0.2210	-0.4838
0.1952	-0.1036	0.2210	-0.4881
0.1947	-0.1045	0.2210	-0.4925
0.1943	-0.1053	0.2210	-0.4968
0.1938	-0.1062	0.2210	-0.5012
0.1934	-0.1070	0.2210	-0.5055
0.1929	-0.1079	0.2210	-0.5100
0.1924	-0.1087	0.2210	-0.5143
0.1919	-0.1096	0.2210	-0.5187
0.1915	-0.1104	0.2210	-0.5230
0.1910	-0.1112	0.2210	-0.5271
0.1905	-0.1120	0.2210	-0.5314
0.1900	-0.1128	0.2210	-0.5358
0.1895	-0.1137	0.2210	-0.5402
0.1890	-0.1145	0.2210	-0.5446
0.1885	-0.1153	0.2210	-0.5489
0.1880	-0.1161	0.2210	-0.5533
0.1875	-0.1169	0.2210	-0.5576
0.1870	-0.1178	0.2210	-0.5620
0.1865	-0.1186	0.2210	-0.5663
0.1860	-0.1194	0.2210	-0.5707
0.1855	-0.1202	0.2210	-0.5751
0.1849	-0.1210	0.2210	-0.5795
0.1844	-0.1218	0.2210	-0.5838
0.1839	-0.1226	0.2210	-0.5882
0.1833	-0.1234	0.2210	-0.5925
0.1828	-0.1242	0.2210	-0.5969
0.1822	-0.1250	0.2210	-0.6013
0.1817	-0.1258	0.2210	-0.6056
0.1811	-0.1266	0.2210	-0.6100
0.1806	-0.1274	0.2210	-0.6144
0.1800	-0.1282	0.2210	-0.6188
0.1795	-0.1290	0.2210	-0.6231
0.1789	-0.1298	0.2210	-0.6275
0.1783	-0.1305	0.2210	-0.6318
0.1778	-0.1313	0.2210	-0.6359
0.1772	-0.1320	0.2210	-0.6402
0.1776	-0.1332	0.2220	-0.6435
0.1761	-0.1335	0.2210	-0.6487
0.1756	-0.1342	0.2210	-0.6528
0.1750	-0.1350	0.2210	-0.6572
0.1744	-0.1357	0.2210	-0.6612
0.1739	-0.1364	0.2210	-0.6654
0.1742	-0.1376	0.2220	-0.6686
0.1736	-0.1384	0.2220	-0.6730
0.1730	-0.1391	0.2220	-0.6771
0.1724	-0.1398	0.2220	-0.6815
0.1719	-0.1405	0.2220	-0.6855
0.1712	-0.1413	0.2220	-0.6899
0.1706	-0.1420	0.2220	-0.6940
0.1708	-0.1434	0.2230	-0.6983
0.1702	-0.1441	0.2230	-0.7025
0.1696	-0.1448	0.2230	-0.7068
0.1690	-0.1455	0.2230	-0.7109
0.1693	-0.1467	0.2240	-0.7142
0.1687	-0.1474	0.2240	-0.7183
0.1680	-0.1481	0.2240	-0.7226
0.1674	-0.1488	0.2240	-0.7267
0.1668	-0.1496	0.2240	-0.7310
0.1661	-0.1502	0.2240	-0.7352
0.1655	-0.1510	0.2240	-0.7396
0.1649	-0.1516	0.2240	-0.7436
0.1649	-0.1530	0.2250	-0.7480
0.1652	-0.1543	0.2260	-0.7513
0.1636	-0.1544	0.2250	-0.7564
0.1630	-0.1551	0.2250	-0.7606
0.1623	-0.1558	0.2250	-0.7649
0.1626	-0.1570	0.2260	-0.7679
0.1619	-0.1577	0.2260	-0.7723
0.1612	-0.1584	0.2260	-0.7764
0.1606	-0.1591	0.2260	-0.7807
0.1599	-0.1597	0.2260	-0.7848
0.1599	-0.1611	0.2270	-0.7891
0.1601	-0.1623	0.2280	-0.7924
0.1594	-0.1630	0.2280	-0.7965
0.1594	-0.1644	0.2290	-0.8009
0.1587	-0.1651	0.2290	-0.8050
0.1580	-0.1658	0.2290	-0.8094
0.1573	-0.1664	0.2290	-0.8134
0.1566	-0.1670	0.2290	-0.8175
0.1559	-0.1677	0.2290	-0.8219
0.1552	-0.1684	0.2290	-0.8260
0.1545	-0.1690	0.2290	-0.8304
0.1538	-0.1697	0.2290	-0.8345
0.1539	-0.1709	0.2300	-0.8377
0.1532	-0.1716	0.2300	-0.8421
0.1525	-0.1722	0.2300	-0.8462
0.1517	-0.1729	0.2300	-0.8505
0.1510	-0.1735	0.2300	-0.8546
0.1502	-0.1742	0.2300	-0.8590
0.1495	-0.1748	0.2300	-0.8631
0.1494	-0.1762	0.2310	-0.8675
0.1502	-0.1782	0.2330	-0.8704
0.1500	-0.1796	0.2340	-0.8748
0.1493	-0.1802	0.2340	-0.8789
0.1485	-0.1808	0.2340	-0.8833
0.1478	-0.1814	0.2340	-0.8873
0.1470	-0.1821	0.2340	-0.8917
0.1462	-0.1827	0.2340	-0.8958
0.1462	-0.1840	0.2350	-0.8991
0.1454	-0.1846	0.2350	-0.9034
0.1447	-0.1852	0.2350	-0.9075
0.1439	-0.1858	0.2350	-0.9116
0.1431	-0.1864	0.2350	-0.9160
0.1430	-0.1878	0.2360	-0.9201
0.1421	-0.1884	0.2360	-0.9244
0.1421	-0.1897	0.2370	-0.9277
0.1419	-0.1910	0.2380	-0.9318
0.1411	-0.1917	0.2380	-0.9361
0.1403	-0.1922	0.2380	-0.9402
0.1395	-0.1928	0.2380	-0.9446
0.1395	-0.1941	0.2390	-0.9476
0.1386	-0.1947	0.2390	-0.9519
0.1384	-0.1961	0.2400	-0.9561
0.1381	-0.1975	0.2410	-0.9605
0.1373	-0.1980	0.2410	-0.9645
0.1365	-0.1986	0.2410	-0.9689
0.1357	-0.1992	0.2410	-0.9729
0.1355	-0.2005	0.2420	-0.9763
0.1347	-0.2011	0.2420	-0.9806
0.1344	-0.2024	0.2430	-0.9847
0.1343	-0.2037	0.2440	-0.9880
0.1335	-0.2043	0.2440	-0.9921
0.1326	-0.2048	0.2440	-0.9964
0.1317	-0.2054	0.2440	-1.0005
0.1314	-0.2068	0.2450	-1.0049
0.1305	-0.2073	0.2450	-1.0090
0.1304	-0.2086	0.2460	-1.0122
0.1295	-0.2092	0.2460	-1.0166
0.1291	-0.2106	0.2470	-1.0207
0.1287	-0.2120	0.2480	-1.0251
0.1285	-0.2133	0.2490	-1.0283
0.1277	-0.2138	0.2490	-1.0325
0.1267	-0.2143	0.2490	-1.0368
0.1259	-0.2149	0.2490	-1.0409
0.1254	-0.2163	0.2500	-1.0452
0.1245	-0.2168	0.2500	-1.0493
0.1236	-0.2173	0.2500	-1.0537
0.1234	-0.2186	0.2510	-1.0570
0.1230	-0.2200	0.2520	-1.0610
0.1225	-0.2214	0.2530	-1.0654
0.1222	-0.2227	0.2540	-1.0687
0.1213	-0.2232	0.2540	-1.0728
0.1208	-0.2246	0.2550	-1.0771
0.1198	-0.2251	0.2550	-1.0816
0.1194	-0.2265	0.2560	-1.0856
0.1184	-0.2270	0.2560	-1.0900
0.1175	-0.2275	0.2560	-1.0940
0.1172	-0.2287	0.2570	-1.0974
0.1166	-0.2301	0.2580	-1.1017
0.1157	-0.2306	0.2580	-1.1058
0.1154	-0.2319	0.2590	-1.1091
0.1148	-0.2333	0.2600	-1.1134
0.1143	-0.2346	0.2610	-1.1175
0.1133	-0.2351	0.2610	-1.1219
0.1129	-0.2364	0.2620	-1.1252
0.1124	-0.2378	0.2630	-1.1292
0.1118	-0.2392	0.2640	-1.1336
0.1108	-0.2396	0.2640	-1.1377
0.1098	-0.2401	0.2640	-1.1420
0.1094	-0.2414	0.2650	-1.1453
0.1084	-0.2418	0.2650	-1.1494
0.1077	-0.2432	0.2660	-1.1537
0.1071	-0.2446	0.2670	-1.1582
0.1067	-0.2459	0.2680	-1.1614
0.1057	-0.2463	0.2680	-1.1655
0.1050	-0.2477	0.2690	-1.1699
0.1044	-0.2490	0.2700	-1.1740
0.1039	-0.2503	0.2710	-1.1772
0.1032	-0.2517	0.2720	-1.1815
0.1022	-0.2521	0.2720	-1.1857
0.1014	-0.2535	0.2730	-1.1901
0.1010	-0.2547	0.2740	-1.1933
0.1000	-0.2551	0.2740	-1.1974
0.0992	-0.2565	0.2750	-1.2018
0.0985	-0.2578	0.2760	-1.2059
0.0980	-0.2591	0.2770	-1.2092
0.0969	-0.2595	0.2770	-1.2135
0.0962	-0.2608	0.2780	-1.2176
0.0954	-0.2622	0.2790	-1.2219
0.0948	-0.2635	0.2800	-1.2253
0.0940	-0.2648	0.2810	-1.2296
0.0933	-0.2661	0.2820	-1.2337
0.0927	-0.2674	0.2830	-1.2370
0.0919	-0.2687	0.2840	-1.2413
0.0911	-0.2700	0.2850	-1.2454
0.0899	-0.2704	0.2850	-1.2498
0.0893	-0.2717	0.2860	-1.2531
0.0886	-0.2730	0.2870	-1.2571
0.0877	-0.2743	0.2880	-1.2615
0.0868	-0.2756	0.2890	-1.2656
0.0862	-0.2769	0.2900	-1.2689
0.0853	-0.2782	0.2910	-1.2732
0.0845	-0.2795	0.2920	-1.2773
0.0838	-0.2807	0.2930	-1.2806
0.0829	-0.2821	0.2940	-1.2850
0.0820	-0.2834	0.2950	-1.2890
0.0811	-0.2847	0.2960	-1.2934
0.0804	-0.2859	0.2970	-1.2967
0.0794	-0.2872	0.2980	-1.3010
0.0785	-0.2885	0.2990	-1.3051
0.0778	-0.2897	0.3000	-1.3084
0.0768	-0.2910	0.3010	-1.3128
0.0761	-0.2933	0.3030	-1.3168
0.0754	-0.2945	0.3040	-1.3201
0.0744	-0.2958	0.3050	-1.3245
0.0734	-0.2971	0.3060	-1.3286
0.0723	-0.2984	0.3070	-1.3329
0.0716	-0.2996	0.3080	-1.3362
0.0706	-0.3008	0.3090	-1.3403
0.0695	-0.3021	0.3100	-1.3446
0.0689	-0.3043	0.3120	-1.3480
0.0679	-0.3055	0.3130	-1.3520
0.0668	-0.3068	0.3140	-1.3564
0.0662	-0.3090	0.3160	-1.3597
0.0651	-0.3102	0.3170	-1.3638
0.0640	-0.3115	0.3180	-1.3681
0.0629	-0.3127	0.3190	-1.3722
0.0621	-0.3139	0.3200	-1.3755
0.0611	-0.3161	0.3220	-1.3798
0.0599	-0.3174	0.3230	-1.3842
0.0592	-0.3196	0.3250	-1.3875
0.0581	-0.3208	0.3260	-1.3916
0.0574	-0.3229	0.3280	-1.3949
0.0562	-0.3242	0.3290	-1.3992
0.0550	-0.3254	0.3300	-1.4033
0.0539	-0.3276	0.3320	-1.4077
0.0530	-0.3288	0.3330	-1.4110
0.0519	-0.3310	0.3350	-1.4153
0.0507	-0.3322	0.3360	-1.4194
0.0498	-0.3343	0.3380	-1.4230
0.0487	-0.3365	0.3400	-1.4270
0.0474	-0.3377	0.3410	-1.4314
0.0466	-0.3398	0.3430	-1.4347
0.0453	-0.3420	0.3450	-1.4391
0.0440	-0.3432	0.3460	-1.4434
0.0431	-0.3453	0.3480	-1.4466
0.0418	-0.3475	0.3500	-1.4510
0.0409	-0.3496	0.3520	-1.4543
0.0396	-0.3518	0.3540	-1.4586
0.0382	-0.3529	0.3550	-1.4630
0.0372	-0.3551	0.3570	-1.4663
0.0359	-0.3572	0.3590	-1.4707
0.0346	-0.3593	0.3610	-1.4747
0.0336	-0.3614	0.3630	-1.4780
0.0322	-0.3636	0.3650	-1.4824
0.0308	-0.3657	0.3670	-1.4867
0.0298	-0.3678	0.3690	-1.4901
0.0283	-0.3699	0.3710	-1.4944
0.0273	-0.3720	0.3730	-1.4976
0.0258	-0.3741	0.3750	-1.5021
0.0243	-0.3762	0.3770	-1.5064
0.0232	-0.3783	0.3790	-1.5096
0.0217	-0.3814	0.3820	-1.5140
0.0202	-0.3835	0.3840	-1.5182
0.0189	-0.3855	0.3860	-1.5217
0.0175	-0.3876	0.3880	-1.5257
0.0158	-0.3897	0.3900	-1.5301
0.0147	-0.3917	0.3920	-1.5334
0.0131	-0.3948	0.3950	-1.5377
0.0118	-0.3968	0.3970	-1.5410
0.0102	-0.3999	0.4000	-1.5454
0.0085	-0.4019	0.4020	-1.5497
0.0072	-0.4049	0.4050	-1.5531
0.0055	-0.4080	0.4080	-1.5574
0.0042	-0.4100	0.4100	-1.5606
0.0024	-0.4130	0.4130	-1.5650
0.0006	-0.4150	0.4150	-1.5694
-0.0008	-0.4180	0.4180	-1.5726
-0.0025	-0.4210	0.4210	-1.5767
-0.0040	-0.4240	0.4240	-1.5803
-0.0058	-0.4270	0.4270	-1.5844
-0.0077	-0.4299	0.4300	-1.5887
-0.0092	-0.4329	0.4330	-1.5920
-0.0112	-0.4359	0.4360	-1.5964
-0.0131	-0.4388	0.4390	-1.6007
-0.0147	-0.4418	0.4420	-1.6041
-0.0167	-0.4447	0.4450	-1.6084
-0.0183	-0.4476	0.4480	-1.6116
-0.0204	-0.4505	0.4510	-1.6160
-0.0225	-0.4544	0.4550	-1.6204
-0.0242	-0.4574	0.4580	-1.6236
-0.0264	-0.4602	0.4610	-1.6280
-0.0281	-0.4641	0.4650	-1.6313
-0.0303	-0.4680	0.4690	-1.6354
-0.0325	-0.4709	0.4720	-1.6397
-0.0343	-0.4748	0.4760	-1.6430
-0.0367	-0.4786	0.4800	-1.6474
-0.0385	-0.4815	0.4830	-1.6507
-0.0409	-0.4853	0.4870	-1.6550
-0.0434	-0.4891	0.4910	-1.6594
-0.0454	-0.4929	0.4950	-1.6626
-0.0480	-0.4967	0.4990	-1.6671
