x	y	r	phi
0.3589	-0.0806	0.3678	-0.2209
0.3570	-0.0824	0.3664	-0.2270
0.3550	-0.0844	0.3649	-0.2333
0.3530	-0.0862	0.3634	-0.2395
0.3531	-0.0881	0.3639	-0.2444
0.3521	-0.0899	0.3634	-0.2499
0.3491	-0.0921	0.3610	-0.2580
0.3471	-0.0939	0.3596	-0.2643
0.3471	-0.0957	0.3600	-0.2691
0.3461	-0.0976	0.3596	-0.2748
0.3440	-0.0993	0.3581	-0.2809
0.3430	-0.1014	0.3577	-0.2876
0.3430	-0.1033	0.3582	-0.2926
0.3409	-0.1050	0.3567	-0.2987
0.3389	-0.1067	0.3553	-0.3052
0.3378	-0.1084	0.3548	-0.3106
0.3367	-0.1102	0.3543	-0.3163
0.3346	-0.1123	0.3530	-0.3237
0.3336	-0.1140	0.3525	-0.3294
0.3335	-0.1157	0.3530	-0.3340
0.3324	-0.1174	0.3525	-0.3394
0.3303	-0.1190	0.3511	-0.3459
0.3281	-0.1210	0.3497	-0.3534
0.3260	-0.1226	0.3483	-0.3598
0.3249	-0.1242	0.3478	-0.3652
0.3238	-0.1259	0.3474	-0.3709
0.3226	-0.1275	0.3469	-0.3763
0.3214	-0.1295	0.3465	-0.3829
0.3193	-0.1311	0.3451	-0.3895
0.3162	-0.1324	0.3427	-0.3965
0.3150	-0.1340	0.3423	-0.4023
0.3158	-0.1357	0.3437	-0.4059
0.3136	-0.1375	0.3424	-0.4133
0.3134	-0.1393	0.3429	-0.4182
0.3122	-0.1408	0.3425	-0.4236
0.3110	-0.1423	0.3420	-0.4292
0.3098	-0.1438	0.3416	-0.4346
0.3086	-0.1454	0.3411	-0.4402
0.3084	-0.1470	0.3416	-0.4447
