x	y	r	phi
0.3582	-0.0692	0.3649	-0.1907
0.3571	-0.0716	0.3642	-0.1977
0.3552	-0.0746	0.3630	-0.2071
0.3531	-0.0773	0.3615	-0.2155
0.3512	-0.0804	0.3603	-0.2251
0.3500	-0.0826	0.3596	-0.2319
0.3480	-0.0856	0.3584	-0.2413
0.3468	-0.0879	0.3578	-0.2483
0.3456	-0.0901	0.3571	-0.2551
0.3436	-0.0931	0.3560	-0.2647
0.3423	-0.0953	0.3553	-0.2715
0.3402	-0.0982	0.3541	-0.2809
0.3389	-0.1004	0.3535	-0.2879
0.3368	-0.1032	0.3523	-0.2974
0.3355	-0.1054	0.3517	-0.3044
0.3342	-0.1075	0.3510	-0.3112
0.3329	-0.1099	0.3506	-0.3189
0.3316	-0.1120	0.3500	-0.3259
0.3303	-0.1144	0.3496	-0.3335
0.3289	-0.1165	0.3489	-0.3403
0.3275	-0.1185	0.3483	-0.3473
0.3262	-0.1209	0.3479	-0.3550
0.3248	-0.1230	0.3473	-0.3619
0.3235	-0.1253	0.3469	-0.3695
0.3220	-0.1273	0.3463	-0.3763
0.3206	-0.1293	0.3457	-0.3833
0.3202	-0.1312	0.3460	-0.3890
0.3187	-0.1332	0.3454	-0.3960
0.3173	-0.1355	0.3450	-0.4035
0.3167	-0.1371	0.3451	-0.4084
0.3152	-0.1390	0.3445	-0.4153
0.3138	-0.1412	0.3441	-0.4228
0.3123	-0.1431	0.3435	-0.4298
0.3117	-0.1447	0.3436	-0.4346
0.3102	-0.1468	0.3432	-0.4421
