x	y	r	phi
-0.3599	0.1111	0.3766	2.8421
-0.3590	0.1134	0.3765	2.8357
-0.3577	0.1148	0.3756	2.8310
-0.3569	0.1170	0.3756	2.8249
-0.3554	0.1185	0.3747	2.8197
-0.3547	0.1207	0.3746	2.8136
-0.3532	0.1222	0.3737	2.8086
-0.3517	0.1237	0.3728	2.8034
-0.3512	0.1255	0.3730	2.7983
-0.3497	0.1270	0.3721	2.7933
-0.3489	0.1291	0.3721	2.7871
-0.3481	0.1314	0.3720	2.7807
-0.3465	0.1328	0.3711	2.7757
-0.3456	0.1350	0.3711	2.7692
-0.3448	0.1372	0.3711	2.7630
-0.3433	0.1386	0.3702	2.7579
-0.3423	0.1408	0.3702	2.7514
-0.3408	0.1422	0.3693	2.7463
-0.3399	0.1444	0.3693	2.7398
-0.3390	0.1466	0.3693	2.7335
