x	y	r	phi
0.2400	-0.1467	0.2813	-0.5487
0.2384	-0.1477	0.2805	-0.5546
0.2359	-0.1483	0.2786	-0.5610
0.2343	-0.1492	0.2778	-0.5670
0.2317	-0.1500	0.2760	-0.5747
0.2301	-0.1510	0.2752	-0.5806
0.2285	-0.1519	0.2744	-0.5866
0.2268	-0.1531	0.2736	-0.5940
0.2252	-0.1540	0.2728	-0.5999
0.2227	-0.1544	0.2710	-0.6061
0.2211	-0.1552	0.2702	-0.6121
0.2204	-0.1566	0.2703	-0.6177
0.2186	-0.1577	0.2696	-0.6250
0.2161	-0.1581	0.2678	-0.6316
0.2135	-0.1587	0.2660	-0.6391
0.2119	-0.1595	0.2652	-0.6451
0.2103	-0.1603	0.2644	-0.6511
0.2087	-0.1611	0.2636	-0.6573
0.2069	-0.1621	0.2629	-0.6646
0.2053	-0.1629	0.2621	-0.6707
0.2037	-0.1636	0.2613	-0.6768
0.2021	-0.1643	0.2605	-0.6828
0.2003	-0.1653	0.2597	-0.6899
0.1987	-0.1660	0.2589	-0.6961
0.1971	-0.1667	0.2581	-0.7021
0.1955	-0.1674	0.2573	-0.7082
0.1937	-0.1684	0.2566	-0.7157
0.1929	-0.1695	0.2568	-0.7210
0.1913	-0.1702	0.2560	-0.7270
0.1897	-0.1708	0.2552	-0.7331
0.1870	-0.1712	0.2535	-0.7412
0.1862	-0.1723	0.2537	-0.7467
0.1846	-0.1730	0.2530	-0.7529
0.1830	-0.1736	0.2522	-0.7590
0.1813	-0.1742	0.2514	-0.7652
0.1796	-0.1749	0.2507	-0.7722
0.1788	-0.1761	0.2509	-0.7778
0.1771	-0.1766	0.2501	-0.7840
0.1755	-0.1772	0.2494	-0.7901
0.1739	-0.1777	0.2486	-0.7963
0.1720	-0.1785	0.2479	-0.8038
0.1712	-0.1796	0.2481	-0.8093
0.1696	-0.1800	0.2474	-0.8151
0.1688	-0.1811	0.2476	-0.8207
0.1672	-0.1816	0.2468	-0.8268
0.1663	-0.1827	0.2471	-0.8324
0.1645	-0.1834	0.2464	-0.8398
0.1628	-0.1839	0.2456	-0.8460
0.1604	-0.1837	0.2439	-0.8529
0.1587	-0.1843	0.2432	-0.8601
0.1570	-0.1847	0.2424	-0.8662
0.1562	-0.1858	0.2427	-0.8718
0.1561	-0.1874	0.2439	-0.8765
0.1544	-0.1878	0.2432	-0.8826
0.1528	-0.1882	0.2424	-0.8889
0.1510	-0.1888	0.2417	-0.8963
0.1501	-0.1898	0.2420	-0.9018
0.1485	-0.1901	0.2412	-0.9076
0.1469	-0.1905	0.2405	-0.9139
0.1452	-0.1908	0.2398	-0.9201
0.1434	-0.1913	0.2391	-0.9276
0.1425	-0.1923	0.2394	-0.9330
0.1416	-0.1933	0.2396	-0.9384
0.1407	-0.1943	0.2399	-0.9439
0.1391	-0.1945	0.2391	-0.9500
0.1375	-0.1948	0.2384	-0.9562
0.1366	-0.1957	0.2387	-0.9617
0.1348	-0.1962	0.2380	-0.9689
0.1331	-0.1964	0.2373	-0.9750
0.1322	-0.1973	0.2375	-0.9804
0.1306	-0.1976	0.2368	-0.9867
0.1297	-0.1985	0.2371	-0.9920
0.1279	-0.1988	0.2364	-0.9992
0.1270	-0.1997	0.2367	-1.0045
0.1260	-0.2006	0.2369	-1.0099
0.1244	-0.2008	0.2362	-1.0161
0.1235	-0.2017	0.2365	-1.0214
0.1225	-0.2026	0.2368	-1.0268
0.1209	-0.2027	0.2361	-1.0329
0.1200	-0.2036	0.2363	-1.0382
0.1190	-0.2045	0.2366	-1.0436
0.1181	-0.2053	0.2369	-1.0488
0.1156	-0.2049	0.2353	-1.0572
0.1140	-0.2049	0.2345	-1.0631
0.1131	-0.2058	0.2348	-1.0684
0.1112	-0.2061	0.2342	-1.0759
0.1103	-0.2069	0.2345	-1.0811
0.1093	-0.2077	0.2347	-1.0864
0.1083	-0.2086	0.2350	-1.0917
0.1074	-0.2094	0.2353	-1.0969
0.1064	-0.2102	0.2356	-1.1021
0.1042	-0.2094	0.2339	-1.1093
0.1024	-0.2096	0.2333	-1.1164
0.1014	-0.2104	0.2335	-1.1216
0.1004	-0.2112	0.2338	-1.1268
0.0994	-0.2119	0.2341	-1.1321
0.0985	-0.2127	0.2344	-1.1372
0.0975	-0.2135	0.2347	-1.1424
0.0965	-0.2142	0.2350	-1.1477
0.0955	-0.2150	0.2353	-1.1528
0.0945	-0.2158	0.2355	-1.1579
0.0929	-0.2157	0.2349	-1.1642
0.0919	-0.2164	0.2351	-1.1693
