x	y	r	phi
-0.8111	0.5781	0.9960	2.5223
-0.7989	0.5744	0.9840	2.5182
-0.7879	0.5727	0.9740	2.5130
-0.7774	0.5700	0.9640	2.5089
-0.7655	0.5660	0.9520	2.5049
-0.7545	0.5640	0.9420	2.4997
-0.7442	0.5611	0.9320	2.4956
-0.7338	0.5583	0.9220	2.4912
-0.7252	0.5564	0.9140	2.4872
-0.7144	0.5540	0.9040	2.4820
-0.7042	0.5508	0.8940	2.4779
-0.6956	0.5487	0.8860	2.4737
-0.6865	0.5473	0.8780	2.4686
-0.6781	0.5451	0.8700	2.4645
-0.6681	0.5416	0.8600	2.4604
-0.6596	0.5392	0.8520	2.4563
-0.6507	0.5376	0.8440	2.4511
-0.6439	0.5363	0.8380	2.4471
-0.6355	0.5338	0.8300	2.4430
-0.6272	0.5313	0.8220	2.4388
-0.6199	0.5306	0.8160	2.4337
-0.6117	0.5279	0.8080	2.4296
-0.6034	0.5253	0.8000	2.4252
-0.5967	0.5238	0.7940	2.4211
-0.5880	0.5216	0.7860	2.4159
-0.5814	0.5200	0.7800	2.4119
-0.5748	0.5184	0.7740	2.4078
-0.5677	0.5173	0.7680	2.4026
-0.5596	0.5142	0.7600	2.3985
-0.5532	0.5124	0.7540	2.3944
-0.5467	0.5106	0.7480	2.3903
-0.5396	0.5093	0.7420	2.3851
-0.5346	0.5087	0.7380	2.3810
-0.5283	0.5067	0.7320	2.3770
-0.5219	0.5047	0.7260	2.3729
-0.5149	0.5032	0.7200	2.3677
-0.5086	0.5011	0.7140	2.3636
-0.5036	0.5005	0.7100	2.3593
-0.4973	0.4983	0.7040	2.3551
-0.4920	0.4979	0.7000	2.3503
-0.4856	0.4958	0.6940	2.3458
-0.4794	0.4934	0.6880	2.3418
-0.4748	0.4924	0.6840	2.3380
-0.4681	0.4905	0.6780	2.3328
-0.4634	0.4894	0.6740	2.3290
-0.4587	0.4884	0.6700	2.3248
-0.4522	0.4862	0.6640	2.3200
-0.4475	0.4851	0.6600	2.3159
-0.4430	0.4839	0.6560	2.3121
-0.4383	0.4827	0.6520	2.3080
-0.4319	0.4804	0.6460	2.3031
-0.4273	0.4792	0.6420	2.2990
-0.4228	0.4778	0.6380	2.2951
-0.4182	0.4765	0.6340	2.2911
-0.4132	0.4756	0.6300	2.2861
-0.4087	0.4742	0.6260	2.2821
-0.4042	0.4727	0.6220	2.2782
-0.3997	0.4713	0.6180	2.2741
-0.3948	0.4702	0.6140	2.2692
-0.3903	0.4688	0.6100	2.2651
-0.3860	0.4672	0.6060	2.2614
-0.3815	0.4656	0.6020	2.2573
-0.3784	0.4657	0.6000	2.2531
