x	y	r	phi
-0.1939	0.4382	0.4792	1.9874
-0.1925	0.4407	0.4809	1.9827
-0.1908	0.4422	0.4816	1.9780
-0.1887	0.4428	0.4813	1.9737
-0.1869	0.4443	0.4820	1.9690
-0.1850	0.4448	0.4818	1.9649
-0.1829	0.4454	0.4815	1.9604
-0.1811	0.4469	0.4822	1.9558
-0.1790	0.4474	0.4819	1.9514
-0.1773	0.4488	0.4826	1.9470
-0.1751	0.4494	0.4823	1.9423
-0.1729	0.4499	0.4820	1.9377
-0.1710	0.4514	0.4827	1.9329
-0.1695	0.4527	0.4834	1.9290
-0.1673	0.4532	0.4831	1.9244
-0.1652	0.4537	0.4828	1.9200
-0.1630	0.4541	0.4825	1.9153
-0.1610	0.4556	0.4832	1.9106
-0.1590	0.4570	0.4839	1.9056
-0.1571	0.4584	0.4846	1.9009
-0.1548	0.4588	0.4842	1.8963
-0.1526	0.4592	0.4839	1.8915
-0.1506	0.4606	0.4846	1.8868
-0.1484	0.4610	0.4843	1.8822
-0.1464	0.4624	0.4850	1.8775
-0.1443	0.4637	0.4857	1.8724
-0.1423	0.4651	0.4864	1.8677
-0.1400	0.4654	0.4860	1.8630
-0.1378	0.4658	0.4857	1.8585
-0.1357	0.4671	0.4864	1.8535
-0.1340	0.4683	0.4871	1.8496
-0.1319	0.4697	0.4878	1.8446
-0.1297	0.4699	0.4875	1.8401
-0.1274	0.4702	0.4872	1.8354
-0.1253	0.4715	0.4879	1.8306
-0.1231	0.4728	0.4885	1.8256
-0.1211	0.4740	0.4892	1.8209
-0.1188	0.4743	0.4889	1.8162
-0.1165	0.4755	0.4896	1.8111
-0.1144	0.4767	0.4903	1.8063
-0.1121	0.4770	0.4899	1.8016
-0.1099	0.4782	0.4906	1.7968
-0.1077	0.4793	0.4913	1.7917
-0.1055	0.4795	0.4910	1.7873
-0.1032	0.4807	0.4917	1.7823
-0.1014	0.4818	0.4924	1.7783
-0.0992	0.4830	0.4931	1.7734
-0.0969	0.4841	0.4937	1.7684
-0.0945	0.4843	0.4934	1.7636
-0.0924	0.4854	0.4941	1.7589
-0.0901	0.4875	0.4957	1.7535
-0.0878	0.4886	0.4964	1.7487
-0.0854	0.4887	0.4961	1.7439
-0.0832	0.4898	0.4968	1.7391
-0.0808	0.4908	0.4974	1.7340
-0.0790	0.4919	0.4982	1.7301
-0.0767	0.4919	0.4979	1.7255
-0.0743	0.4930	0.4985	1.7204
-0.0719	0.4950	0.5002	1.7151
-0.0696	0.4960	0.5009	1.7102
-0.0672	0.4960	0.5005	1.7054
-0.0649	0.4970	0.5012	1.7006
-0.0624	0.4990	0.5029	1.6952
-0.0601	0.4999	0.5035	1.6904
-0.0576	0.4999	0.5032	1.6855
